uid,stid,map_score
463,1402019077,0
477,1402020054,1.32
487,1402019021,9.21
488,1402020128,9.21
473,1402020124,13.16
502,1402018187,14.47
493,1402017036,17.11
483,1402019099,19.74
461,1402020074,21.05
501,1402018056,22.37
474,1402020025,26.32
494,1402020053,26.32
459,1402019006,31.58
492,1402017065,31.58
496,1402020066,31.58
470,1402020039,32.89
479,1402019038,35.53
485,1402020064,36.84
477,1402020054,38.16
490,1402020072,38.16
462,1402019074,40.79
476,1402020111,43.42
464,1402020081,46.05
478,1402020007,47.37
480,1402020067,47.37
450,1402020088,50
465,1402020087,50
455,1402020033,52.63
458,1402020107,52.63
468,1402020019,55.26
452,1402020090,56.58
456,1402020113,63.16
491,1402017066,63.16
486,1402019046,67.11
472,1402020052,81.58
467,1402019005,82.89
469,1402020117,89.47
451,1402020030,92.11
453,1402020089,92.11
471,1402019098,96.05
447,1402020069,100
448,1402020027,100
449,1402020097,100
454,1402020076,100
